,ENSG00000174059,ENSG00000138722,ENSG00000113657,ENSG00000105810,ENSG00000104341,ENSG00000196139,ENSG00000128805,ENSG00000134531,ENSG00000120833,ENSG00000205978,ENSG00000277988,ENSG00000261633,ENSG00000095932,ENSG00000088882,ENSG00000088305,ENSG00000130584,ENSG00000238049
01H001,1.566791048534977,4.240824486913843,1.019150668761632,3.510024018655427,0.7403088481857445,0.2187094210098544,2.0425543249541307,3.225413700475983,4.000464939266468,1.3186665076462822,0.0,0.0,0.4535304921723724,1.7930486294712538,1.1805805863045196,0.5679289406053449,0.0
02H003,4.864337141220788,3.205239766670015,4.082483118198573,4.063762301609889,2.0858714536224237,0.8443825930059864,1.4126199003885123,2.770819731864804,2.509639305370953,1.7287455614890184,0.0,0.0,4.959945418124038,5.787338722358695,2.5045171748413666,2.3017220931372577,0.0
02H009,1.8127552317540585,3.3743515753620463,1.1655820818501852,4.332494218658154,5.465767067663708,0.5089111111451645,3.2135444019797426,1.9876927451601167,3.4694486899590844,2.6244170455373856,0.0,0.27409482224462856,4.619682845206987,5.799918824220795,3.4588087981150104,1.608140541747411,0.12296281333132224
02H017,0.9660588121685142,0.7524423840249121,2.531768418323052,4.608262186891908,4.171875228223536,0.031129903916646995,2.5548030385118703,1.208089114177399,4.47711303074512,3.0304774475281775,0.0,0.0,4.7945559954171,6.481381821896637,2.9389082702060945,1.672987502599596,0.0
02H026,0.251955440454045,0.17095793437267714,0.10654940289438287,2.921845442638125,3.009056508487279,0.13165459572668076,0.5455445546189885,2.147623293014742,1.3994966879472954,0.9785367410283058,0.0,0.0,2.5507526768059403,2.4805631147582035,1.7020314223547284,0.7432894923799815,0.0
02H033,0.5077406783561209,0.7258484862996681,1.3547945197034343,3.034433147991468,2.620842274587621,0.1712596152484432,1.1238431007020628,3.0143314665058574,0.9884304928955557,1.8364353949075611,0.0,0.0,2.1900453540426246,4.268288488250832,1.5983291216971784,0.5328452147918437,0.0
02H053,0.050404982422399595,0.06791856939791982,2.6884571596607625,4.284523403706581,2.54472201251568,0.4372024136871669,2.791311585207302,3.118443650160646,2.614866461779762,1.0696704245570965,0.0,0.0,5.152041181034299,5.574025906216589,2.9342790942623305,1.658208792099148,0.0
02H066,1.4689042530561516,2.0903132465583742,0.7138849900521858,4.349456467474293,5.572154168676382,1.352938872717103,3.6040730607211033,1.1713323401763325,3.6750836395545385,2.4140173231277315,0.1039459497747971,0.21078361705250462,5.802439163039624,5.760109449432736,4.02875137488956,2.503464776128259,0.28106078682635993
03H016,0.5339595351276979,1.0892821419296237,1.3133456959525278,3.1731576504471644,2.2089426969424353,0.21319824366141468,1.7875091512828367,3.0995434465492275,1.879751467696969,1.3328752957421999,0.0,0.06230755975938166,2.4210514497116757,4.194974346286485,2.0423818477373694,1.0565876778694312,0.0
03H022,4.198235516278614,2.9498926167379373,1.0990082114567665,3.8807025069445564,4.21949763401887,0.42313907393910416,1.8798534386621681,4.955370909805936,1.120837303287474,2.9338583055415786,0.0,0.0,3.6616032403437035,4.269443905714433,3.3517131580511523,1.773058759490806,0.0
03H024,4.8442740715040555,2.3967848332961323,1.1194103107960922,4.227209716084819,4.467666699965831,0.9978443377765287,2.667011130561717,1.7197017971878716,1.7264321391690514,3.0390279680431167,0.0,0.1877191161143437,4.959736933244121,5.0518033988589,3.273699319835741,1.8888059294349109,0.0
03H028,3.9301821360835203,1.9243316145336917,0.08942941702428735,3.520154433653721,5.078728819952395,1.4559220706341887,1.826707700526879,0.5449358076870073,2.823979435203883,3.544776183068304,0.0,0.0,2.8728796772981275,6.351480603509718,2.9856263568534676,2.4903356010979847,0.3191033794131184
03H036,5.376952371164227,4.457541999918481,0.09777729217236959,4.596007437297781,3.165085280799315,1.3637142002391411,0.8146138158431321,3.0346235568497115,1.839600932919478,3.7910893757274398,0.0,0.3467475786016959,5.605987520093846,5.214375018131282,3.6072614020602525,2.850285650027249,0.0
03H041,3.816202254554715,2.383250233484372,1.1089079801850772,3.6786675813930754,0.9064640314282671,0.2236501938671639,1.7407300482585704,2.07553082787669,2.6965623655522357,2.6653567526401765,0.0,0.0,3.8649965296520463,4.873075522944713,3.1986753203260574,1.4592426931768991,0.0
03H052,1.2583463951854637,1.2922429177747012,0.548828561048311,3.1514574990165523,2.222132546189308,0.23449723056803995,1.325929913815359,2.5433954948887223,1.270212515346433,1.2388250072288771,0.0,0.0,2.6965978381589024,3.804208429612472,1.8272258470487366,0.6648806959828673,0.09666357958698217
03H060,3.7903550371055577,2.032252760669787,0.22339005325277464,3.4405680916386467,2.3756768923128595,0.5757903416441794,0.49073826157531486,2.278513402301391,1.880450130570486,1.0019009634587908,0.0,0.0,4.687826674837424,2.925681862249792,2.09509125169004,0.9108112147620864,0.0
03H065,6.342497045675275,0.8741319845707779,0.25015242058315823,4.965827355090994,2.843076973084386,1.4488992554103723,0.45478573003977174,4.228486824553838,3.9357331657170986,0.23782592447803474,0.0,0.0,4.250327733058462,5.537883572394664,1.9403226399207765,2.469870025931039,0.0
03H067,0.1611967923897538,0.6430982730088493,0.4722936058764413,3.915842875560157,3.475842651260576,0.04205243345570373,0.5387947116393402,3.5690434011787713,0.7685579658418958,1.7808970453192097,0.0,0.0,2.444546621744324,5.20879218956198,2.191929548328353,1.3076941726841291,0.0
03H081,5.5590696125496155,4.209903914703347,1.387673878486494,5.454073687272825,4.989797890729892,1.3626695286282144,2.4844312780759,3.5298365308385433,2.8261914470762646,2.845258982108659,0.0,0.26063293740643445,5.573920486714013,5.094439168602248,3.8310729962276806,2.778833964170216,0.0
03H090,0.6377812992444979,3.280076935403242,1.0081405118406022,4.199893814546164,4.255666723876647,0.8520716008651393,2.6693497557072816,0.6191829007171872,3.7338896573177243,1.4937558705621654,0.0,0.17166157303524107,5.963739593191313,6.011784392878381,3.985990631213951,2.1833811531492007,0.0
03H095,3.201588093590253,1.4709270861594752,1.8061576773758257,3.479644977642784,1.2945551782983578,0.2484559409872664,1.6290166175888983,3.9349293759446753,1.1308922225850588,0.7493806734441774,0.0,0.0684576801086178,3.487618611228132,3.9727316702504276,1.7678937445846747,0.9145055047326948,0.0
03H109,5.1339684870159,3.9792375178910175,4.421461142565805,4.347062401234824,1.000112550562249,1.2914600642267833,2.4291454898811695,5.354804870164483,2.117552236402605,1.7030771190978158,0.5536098708909974,0.0,5.14151493251753,5.081615707030081,1.2051093940772224,2.208603053382735,0.0
03H112,5.537113056438519,3.4049165930629854,3.7696416633909844,4.4111552279060735,1.7467579287661514,1.099882491384415,2.491162578848584,4.66909029943538,3.234084371883355,1.713492985927058,0.0,0.0,5.67761521043872,5.599745505088529,1.0679109130067943,1.1737389514022645,0.0
03H116,0.08539618920505623,0.8147095677154599,2.766121303028389,4.675314599181761,3.9828108430447697,1.106118507217165,3.5171301395930485,2.650509214744269,3.636438547034285,2.193993574372405,0.0,0.31447589221909805,5.214504770215945,6.224513355760258,4.103165421825399,3.032014167973621,0.0
03H119,5.750528794630264,0.9779558621049561,1.2511166764246733,4.596011835253195,2.396975887758846,0.5147952444294382,2.423670499323501,1.6888957727881397,2.9462079951773674,1.9831526697634216,0.1735425841529683,0.06546772226872409,5.3192401840035615,4.566108198194531,2.897411310017736,1.9078802398255361,0.0
04H024,2.433009066375536,2.7446077806791784,2.944288372865374,4.273378395234029,2.237741192781814,0.6077740794191739,2.5136438732996487,3.0603126517043537,0.6733234168556453,3.1399802376184986,0.0,0.1340821108127684,4.1319913175252845,5.606044531610047,3.375286846939454,2.2601681629678,0.0
04H025,4.6383602467005804,3.4370590989027203,0.7375962048630682,5.25544527578656,5.483419493813037,1.016327768603204,4.087015066776788,0.7814190743812803,3.338822565047183,3.598854339455298,0.0,0.7283843265773307,5.570796801917679,5.9132256716118885,3.892676503977983,2.365245879319354,0.0
04H030,5.533675932719387,3.3815853070397623,0.43948215396780055,4.348785003104091,0.7846575658044231,0.851971964777473,1.181787649170608,4.874354204991045,2.4116375933025984,2.3187970677338026,0.0916332940654442,0.0,5.43660294222946,5.573185296195348,1.5551232376734452,1.3022203822075045,0.0
04H039,0.7007005516913541,3.112900269887438,0.36897007319843006,3.2700828245473095,2.2346273537305192,1.194196921019952,1.5671357860494164,2.7612750448470544,2.256840604718366,2.368117747177438,0.0,0.0627305206909346,4.768856175075578,5.080900055704358,2.2696698783630005,1.119196805632971,0.0
04H041,0.1650678991071915,0.41738673705364554,0.8007753066823692,3.446496272941418,2.778764646467295,0.041434972142197185,0.5842163464761332,3.1748704286511984,0.3739245804944237,1.2274201611625672,0.0,0.0,2.444913122584452,3.082887291912739,1.6363541200696665,1.3446894804036136,0.14353187474219123
04H048,4.99238521028414,1.769585701127813,0.031110119870814062,5.6029199584038345,2.898884544480394,1.2593505273330918,0.18304683390990759,0.8982408168731466,1.6167127033435096,2.267363550403821,0.0,0.0,5.738881788348431,5.911924186844803,3.4719039749489617,2.0072445689397846,0.0
04H050,4.311162963070545,4.022058239719324,0.5034131275162999,3.7562669757072107,4.112421501526266,0.7656930893392015,1.4815039998177275,2.0372147710618593,1.9950746839844895,2.8969724612157366,0.0,0.18530881929200932,4.127019732835062,4.136581274833114,4.04485596607204,2.2081784652426495,0.0
04H061,5.120938697184431,2.471659783703707,1.9805833061688656,3.8116632417552414,0.536846115138882,0.6266393644346879,0.6960500063369144,5.056302216495102,1.735216065032729,1.8909013944693995,0.19222345062562135,0.0,5.033247311184764,5.286213826286696,0.8902185703142897,1.3464809012182255,0.0
04H063,5.551005963846241,3.622996454636784,0.7320696828696467,4.351615109634341,3.2018418619883833,0.9974923612894919,2.2960656903221275,3.888599296730028,2.278388992093491,3.1367780276731216,0.14140875615119053,0.6246870981297443,3.950432399330646,4.961424750011369,3.9673289349710643,2.6261490295294467,0.0
04H068,0.3889106986554303,1.1639472254652572,4.716481106651479,4.778321145841045,1.2044386977986798,0.8244499058781156,2.2147540315837047,4.016342011389051,0.5078702590715337,1.989062048409348,0.0,0.15976363543255329,4.994220665369991,4.5735989604208855,2.87559675562057,2.1372365870400842,0.0
04H078,4.132426565458855,2.9174345420255654,1.8959950149878848,4.807165943254039,3.1095730793300236,0.8616596956257303,2.2983263579473543,4.807677636635243,1.8022656086746631,2.1507038430355974,0.0,0.1849528252050637,4.774986816291027,5.5539104490290825,2.857570153081515,1.673470763319845,0.0
04H080,0.4042733296990767,0.22609794653719353,2.782549266832224,4.340435086926159,1.0556753792451414,0.18584973818185632,0.49978488514041747,5.488612156511392,0.588688603799271,1.0415138959870975,0.0,0.30687211064470604,1.955544470390633,2.9569037891695373,1.335927102582597,1.8130487956255776,0.0
04H091,4.000229090827896,2.4632864335105684,2.0948989415832666,3.4823248706973358,1.1105211587641852,0.41691161587861014,1.5933514791681487,3.448689371750296,1.4680350315124926,1.2534383648969156,0.0,0.0,4.086478073142709,4.3150411755578695,1.4838836180818158,1.2548791898391651,0.0
04H101,4.734718392799032,2.4146689660488843,2.7653131100839867,4.16986212783299,3.9720256619927925,0.6574944709385498,2.090726079949077,3.434936419180062,1.6638235309225338,2.334793141728989,0.0,0.0,4.133070072226292,4.418055372256733,3.182681920555406,1.4934481860698838,0.0
04H103,6.256573963500236,3.889819998037263,4.481587722675672,5.031602160201446,4.418061150083248,1.2664498086582492,3.189639969429271,2.6998328689054123,3.102910170109396,4.236184409011077,0.11043258531042396,0.40561479223647245,5.211051278194877,5.249108555647505,4.717601406993566,2.230160139741641,0.0
04H108,0.18467142495262198,0.7331766350368822,4.981665534822023,5.028664763662644,3.729555623432008,0.6607623806196179,3.2143370441719807,3.4614580029167947,3.420687318542655,2.563339875825235,0.0,0.06771701208071647,4.403667863591739,5.8619597746824175,3.1986338032851265,2.105001883240561,0.0
04H112,3.8278778749914313,3.932317243215254,2.7814413493779653,4.1098231355677814,6.280957469758366,0.9117851400070244,3.8610298442426423,2.932915641332189,3.890268448334561,3.9452399860095344,0.06877571731159568,0.9262720788262432,5.273675903296378,6.278273865613049,4.7219976961185965,2.7980617563011614,0.0
04H120,5.163494991298582,3.106935134019065,1.9887547707703583,4.732492556438602,4.104538220998243,1.057125092131539,2.472554595795365,6.685003528613707,2.6450812610714167,3.636262114001128,0.0,0.8047313687345351,4.8083156636520545,5.970293075283884,3.79490161639892,2.4343333077037395,0.0
04H132,5.222416131909979,4.989885125722391,3.4119439352650276,4.075084499475438,5.163208124399843,1.600977897222013,2.7512688420163025,4.0859833725550745,4.392886393320935,3.709141069983763,0.21506465373588687,0.8986427424261219,5.747785632327909,5.468895515035415,3.627028175905918,2.4227796847959686,0.0
04H133,0.42249217774121006,3.56870815343618,0.8765757632597594,4.863017090444001,5.557900044500295,1.1233497898919564,3.8877010545397583,1.692354636814392,4.352128733834749,3.017980757791308,0.0,0.47511759414842103,5.132161442840649,6.455398663393456,3.777399924523592,1.9760955215204263,0.0
04H135,6.033655746210604,3.9326916346427465,5.222496753023864,5.805991206593556,0.3905240022381373,1.7380809579209986,2.215651429660762,4.143569067729203,0.48787032469831054,1.495842283397499,0.12066218101809356,0.31209082945321004,5.331334461886186,4.681042605894044,3.6801389944214438,2.462520993790665,0.0
04H140,1.5316088824675052,3.2556018875204136,2.1478634608445977,4.532784323610365,3.80810494092606,0.7247492972610949,2.8895834365811464,3.0826067861628683,2.81370923230091,3.48099379906897,0.0,0.37728376131192887,4.641708709235997,5.675234865046128,4.0631413871641815,2.424010325466797,0.0
05H008,1.1083440108945055,1.9039420113256504,3.160715933018883,5.315045328197253,2.171180167761975,0.5024961184555229,2.813517323817306,3.6773285439409737,0.1888447574193664,1.1062791437257233,0.0,0.15442706904982464,3.5994298606655253,5.396752587588144,3.458570375653089,1.9953567210653271,0.1597521942936789
05H013,1.1769593605595803,0.6955692517322042,0.883200888873727,2.4481238442280833,2.09240419341266,0.12604620285595572,0.7206065155597837,4.243952301231281,0.9350836733069112,1.2280294900752824,0.0,0.13573143695003967,1.1140347367550203,2.150148957033376,1.1465349924420487,0.9231054393532422,0.0
05H025,0.24401213680785838,5.7911327422380445,0.8455835911301283,4.893786784694292,0.739114328212753,0.04321758597905608,1.3259641549956613,0.9507731559819739,5.397765279480901,1.8675604893950501,0.0,0.0,1.1311913125807769,0.7109582419776374,1.9665895434532983,0.9774158834375712,0.0
05H030,2.163106672927025,4.33946292858686,2.928683551432549,5.223605527137541,4.526325879289371,1.9619254025678068,3.5559350605469,2.647911806645956,4.956267637666716,2.752909029012185,0.0,1.059858738045519,4.41393247117006,5.85945160649322,4.336328304536768,2.6334508047632914,0.0
05H034,5.115327804209492,3.6995711670829396,0.9908135840303105,4.994784386345536,2.4265100849694043,1.0087710376064376,1.8107035414477235,4.115744726851184,2.07953827453297,3.1571680615615794,0.0,0.0,4.907140481206791,4.459872660227057,4.155675008413914,2.0612372078701306,0.0
05H042,5.679642124224674,2.630328275176596,0.4667893172349776,5.3647630566634845,3.298935527943328,1.7160849829336577,0.7980022066171372,4.242380752669126,3.3676451346915286,1.8288366217429264,0.0,0.0,5.014180296937738,4.881090807548793,2.1839432355439863,2.9500591846278663,0.0
05H050,3.719011583532543,2.787695847261031,2.5849394220509403,3.865798366050998,3.115679728399206,0.5052641327209049,1.3256404386577365,4.203122525115543,2.979427501100464,2.3382062005062965,0.0,0.13698178313865803,2.768585542572523,5.374500470312697,2.3473916868626716,1.8789275167300266,0.0
05H065,0.2956945365342598,2.19425530233454,1.5805761735388402,4.058109333327863,1.7901476665790095,0.09243128501754105,1.8498339088981304,2.972285650743936,0.4650185073131673,1.2625762109384777,0.0,0.0,3.4857310867785585,4.2078286806896195,2.818795989765105,1.6374848707594558,0.0
05H066,2.0741506441237343,5.712434041927432,1.777357583972081,5.031823869854516,3.5734539640660463,0.7510001654018853,2.4664433565711725,4.407869809972661,4.986648882343616,3.7792167454853853,0.0,0.1272715511146512,5.448717702726469,5.3153829507493455,3.5508924220169296,2.0499925200893965,0.1317207974457281
05H078,3.782875416362477,2.3482208954301838,0.10703211474211126,4.872795303106972,1.9453454081599058,0.8083495016884876,0.20579137632115935,1.5137673195202874,0.5954745537770801,1.9094166614959964,0.0,0.0,6.088379318513366,5.786698781649229,3.430929511677919,2.41422351706848,0.0
05H090,4.749922302065301,2.625986765382874,0.8063020716827602,4.076819188131721,1.8998694944587227,0.6927762500732175,0.7541089990300448,5.525136554674405,1.5537837811523596,1.662867575681728,0.1120809018493404,0.08129073580683006,5.083072838698566,5.026137973736329,1.0826776570850585,1.1774127595079182,0.0
05H094,0.7698530597717758,1.021824856332801,1.7959351343393197,3.851621775606871,2.4968995423262377,0.29388624931848306,0.7501780466639525,2.224028260950499,0.5632577931085634,1.936172541075762,0.0,0.0,1.7067226621612595,4.498138578200514,2.424151600672902,1.480248809285709,0.0
05H097,0.19403206611686385,2.093924489666612,1.5381656745013166,4.699747241051594,2.9916047465793563,2.054479444838215,2.342027091857663,3.793881282450937,2.0910304314784423,1.5552841214681272,0.0,0.2797343547082971,4.938328876031545,5.017452389827848,2.348269993850323,1.3690367880371235,0.0
05H099,5.622926411008974,2.852774715261321,3.017048664105778,4.452741957405781,1.3831974729050245,1.2480653446366634,1.5172876477457502,5.935050947473481,1.5149543478999696,1.5367899171743742,0.34201482384463117,0.09263007252231557,5.721721454067764,5.294107195796604,1.174886740262675,1.1221337936857954,0.0
05H111,5.115667106857877,3.4317980456812096,1.4149438111771724,5.464346923899852,3.5231726801559766,1.5146473614750493,0.6155106214502201,2.1894723352149708,3.430101835022642,2.0663218221593693,0.0,0.20730899606833905,5.104902841733003,5.7911380979050175,2.1727774384209178,1.8522888012917296,0.0
05H113,5.599076344735756,3.723559307076638,2.4577508271584523,5.134835233572703,2.3457306898113663,1.7253932548929616,1.8720559330150495,5.1880058671252565,1.7663276694564731,1.7487037366110427,0.7947001576919244,0.07583850793839801,5.652027668543132,5.6781119021010165,1.5693419150738646,1.603199387603794,0.0
05H118,5.989087618854709,0.5677136176346015,0.12320208487473884,4.850900245439653,3.6179236316526664,1.6423676754847476,1.0497787861758552,2.160058940850423,2.8668854375482398,0.951180988950814,0.0,0.0,5.29225936107622,6.340724697608275,3.0636007001849554,2.5274536744922016,0.0
05H136,4.695090046758496,2.922340802110108,0.7807036365921416,4.221574681206022,1.9384880427515192,1.223220231189278,0.6890360017952575,5.3680900106302065,2.3202859183138775,0.9479961498654131,0.08893605642290409,0.06430008152877231,4.823836620311141,4.980066920685094,0.8802962768133071,1.442398452913865,0.0
05H163,5.764737516358278,3.385223636282158,1.9104585401785648,5.544219283454541,2.0563236976652033,1.2460894248721301,2.0690187494205503,2.94919451951084,2.2950417184138527,3.2265902528545705,0.0,0.1314644905712191,5.10618483731042,4.078020456177732,3.8358889659443345,2.267361446006075,0.0
05H179,6.01976391919447,5.109717264926953,3.5794826575065266,5.135952479388014,4.497302575050074,1.9611656140411837,3.4203219400592637,4.206664569618016,3.0582091862080794,3.5071533522420397,0.0,1.4899687710821634,5.382080213741885,5.277981323668617,4.789818033130038,2.8455998132469,0.12850151071033938
05H181,0.25630685491612465,0.4848972625220219,0.9448813299008154,2.4198816986496365,2.0849691776852057,0.12387094449498012,1.20421380238603,2.821506979264566,1.711764728571704,0.9090982269554249,0.0,0.09809366136132226,1.0498692399575134,2.502660162980497,1.698919804075945,0.7105650151253956,0.0
05H184,4.774274571216571,1.461980838187167,0.1721087383016929,5.494042107358801,2.6120016668547636,1.8079491679333615,0.32198543308494665,4.664444810124182,3.251706058477744,2.537231863150683,0.0,0.0,3.992459635720228,6.453271064189386,2.549986199613305,2.393503326421156,0.0
05H193,5.110723388623493,5.323086729173745,0.6285618099837341,4.401023812912358,4.444934466207748,1.933393945464989,3.246777212602153,2.390041323273344,2.7701116476800354,4.335174280133041,0.0,0.26857054261953656,5.305719795831676,4.917499329866521,4.5555535816960235,2.984034008085045,0.19314568998142226
05H195,4.394889090619615,4.162346564279737,2.1487607826257706,5.572586981638504,4.058647811706094,1.7909291018611653,3.311723132688127,3.768293504984237,3.614454989107929,3.8966551744837843,0.44910609850543526,0.9314569941822406,5.59497298727979,5.951545812397053,3.942634621737626,2.8242974647697916,0.0
06H010,1.8764550492203629,2.398550342172668,2.4735519243781736,4.47218659892536,2.174677226680008,1.2749997316657782,1.4101181477090377,4.389350519672652,2.052060304457554,2.48957233923851,0.0,0.4935102509565034,3.967332222166442,5.442973800003749,2.7007199628507346,1.5636696862995243,0.0
06H011,0.8455140168024874,3.433712337223915,2.1479815317499877,5.2710118588096675,2.3004912894649903,0.9425679565729145,2.7197332312262694,2.1059217005957476,0.5581795085246437,2.7140047928235354,0.0,0.38004870462410484,4.417636815513958,5.55462671747838,3.8948236227609465,2.1754259777628335,0.0
